Sponsor,Sponsor_Class,Total_Trials,Completed,Failed,Active,Mean_Success_Score,Completion_Efficiency_Percent,Failure_Percent
"Rutgers, The State University of New Jersey",OTHER,5,2,0,3,46.4,40.0,0.0
Fondazione Don Carlo Gnocchi Onlus,OTHER,5,2,0,3,45.0,40.0,0.0
University of British Columbia,OTHER,5,2,1,1,43.2,40.0,20.0
Poitiers University Hospital,OTHER,5,2,0,3,42.6,40.0,0.0
University Medical Center Groningen,OTHER,5,2,0,0,41.0,40.0,0.0
Istituto Nazionale di Ricovero e Cura per Anziani,OTHER,5,2,1,1,36.0,40.0,20.0
Pennington Biomedical Research Center,OTHER,5,2,0,3,36.0,40.0,0.0
University of Utah,OTHER,10,4,3,3,33.2,40.0,30.0
Abbott,INDUSTRY,5,2,3,0,30.4,40.0,60.0
Novoic Limited,INDUSTRY,8,3,2,0,37.75,37.5,25.0
Massachusetts General Hospital,OTHER,32,12,6,11,37.25,37.5,18.8
Hebrew SeniorLife,OTHER,8,3,0,4,36.125,37.5,0.0
"University College, London",OTHER,8,3,0,1,30.625,37.5,0.0
Arizona State University,OTHER,8,3,1,3,29.375,37.5,12.5
"University Health Network, Toronto",OTHER,11,4,0,3,38.63636363636363,36.4,0.0
Myrexis Inc.,INDUSTRY,3,1,2,0,68.66666666666667,33.3,66.7
Baxalta now part of Shire,INDUSTRY,3,1,2,0,59.333333333333336,33.3,66.7
C2N Diagnostics,INDUSTRY,3,1,1,0,57.666666666666664,33.3,33.3
Suven Life Sciences Limited,INDUSTRY,3,1,0,1,56.333333333333336,33.3,0.0
Ludwig-Maximilians - University of Munich,OTHER,9,3,0,4,54.77777777777778,33.3,0.0
Banner Health,OTHER,9,3,0,5,54.0,33.3,0.0
Xijing Hospital,OTHER,3,1,0,2,53.333333333333336,33.3,0.0
University of Milano Bicocca,OTHER,3,1,0,2,52.333333333333336,33.3,0.0
Bitbrain,INDUSTRY,3,1,0,2,51.0,33.3,0.0
"University Hospital, Geneva",OTHER,3,1,0,1,49.333333333333336,33.3,0.0
University of Rostock,OTHER,3,1,0,0,46.333333333333336,33.3,0.0
York University,OTHER,3,1,0,2,44.0,33.3,0.0
Kuopio University Hospital,OTHER,3,1,0,2,41.333333333333336,33.3,0.0
First Affiliated Hospital Xi'an Jiaotong University,OTHER,3,1,0,0,41.0,33.3,0.0
Zhejiang Provincial Tongde Hospital,OTHER,3,1,0,2,40.0,33.3,0.0
Neurological Associates of West Los Angeles,OTHER,3,1,1,0,38.666666666666664,33.3,33.3
University of Zurich,OTHER,3,1,1,1,38.0,33.3,33.3
University of Aberdeen,OTHER,3,1,1,1,37.666666666666664,33.3,33.3
"Epix Pharmaceuticals, Inc.",INDUSTRY,3,1,2,0,37.333333333333336,33.3,66.7
"Hospital San Carlos, Madrid",OTHER,3,1,0,1,37.0,33.3,0.0
Universidade Federal do Rio de Janeiro,OTHER,3,1,0,1,36.0,33.3,0.0
Universitair Ziekenhuis Brussel,OTHER,3,1,0,0,35.666666666666664,33.3,0.0
VTBIO Co. LTD,INDUSTRY,3,1,0,0,35.333333333333336,33.3,0.0
University of Manitoba,OTHER,3,1,0,1,34.666666666666664,33.3,0.0
Assaf-Harofeh Medical Center,OTHER_GOV,3,1,0,0,34.333333333333336,33.3,0.0
"Centre Hospitalier Universitaire, Amiens",OTHER,12,4,3,5,34.25,33.3,25.0
"The University of Texas Health Science Center, Houston",OTHER,3,1,1,1,33.333333333333336,33.3,33.3
University Medicine Greifswald,OTHER,3,1,1,1,33.333333333333336,33.3,33.3
Palo Alto Veterans Institute for Research,OTHER,3,1,1,0,32.666666666666664,33.3,33.3
Medical University of Lodz,OTHER,3,1,0,1,32.333333333333336,33.3,0.0
Centre for Addiction and Mental Health,OTHER,9,3,0,6,32.0,33.3,0.0
LuMind IDSC Foundation,OTHER,3,1,2,0,32.0,33.3,66.7
Virginia Commonwealth University,OTHER,3,1,1,1,29.666666666666668,33.3,33.3
Bernard (Barry) Baumel,OTHER,3,1,0,2,26.0,33.3,0.0
Baycrest,OTHER,3,1,0,2,24.666666666666668,33.3,0.0
"Taipei Veterans General Hospital, Taiwan",OTHER_GOV,3,1,0,0,22.666666666666668,33.3,0.0
University Hospitals Cleveland Medical Center,OTHER,3,1,2,0,18.666666666666668,33.3,66.7
Biogen,INDUSTRY,13,4,8,1,46.69230769230769,30.8,61.5
"Tammie L. S. Benzinger, MD, PhD",OTHER,10,3,2,5,48.4,30.0,20.0
Samsung Medical Center,OTHER,10,3,0,0,38.4,30.0,0.0
Hospices Civils de Lyon,OTHER,20,6,2,5,35.1,30.0,10.0
Sunnybrook Health Sciences Centre,OTHER,17,5,2,8,41.76470588235294,29.4,11.8
IRCCS San Raffaele,OTHER,7,2,0,5,49.57142857142857,28.6,0.0
"St. Joseph's Hospital and Medical Center, Phoenix",OTHER,7,2,1,4,45.714285714285715,28.6,14.3
National Taiwan University Hospital,OTHER,14,4,0,3,45.57142857142857,28.6,0.0
"University Hospital, Grenoble",OTHER,7,2,0,2,37.57142857142857,28.6,0.0
Washington University School of Medicine,OTHER,29,8,2,19,53.51724137931034,27.6,6.9
Centre Hospitalier Universitaire de Saint Etienne,OTHER,11,3,5,3,25.363636363636363,27.3,45.5
The Mediterranean Institute for the Advance of Biotechnology and Health Research,OTHER,4,1,0,2,53.25,25.0,0.0
"Intra-Cellular Therapies, Inc.",INDUSTRY,4,1,1,2,51.0,25.0,25.0
